"id","timestamp","aud_cad","eur_usd","aud_jpy","nzd_usd","aud_usd","usd_jpy","usd_cad","usd_chf","eur_gbp","eur_jpy","eur_cad","gbp_jpy","eur_aud","aud_chf","eur_chf","chf_jpy","eur_nzd","gbp_aud","cad_chf","usd_pln","eur_pln","usd_mxn","eur_mxn","gbp_chf","aud_nzd","cad_jpy"
30,"2024-06-17 06:40:08","0.90604803","1.06924997","103.76638400","0.61091647","0.65915016","157.42450000","1.37457000","0.89121500","0.84421562","168.32614263","1.46975894","199.38761811","1.62216448","0.58744451","0.95293162","176.64031687","1.75023924","1.92150493","0.64835912","4.09345000","4.37692131","18.49559700","19.77641662","1.12877752","1.07895301","114.52636097"
31,"2024-06-17 06:41:04","0.90629372","1.06952444","103.79249345","0.61110687","0.65936008","157.41397900","1.37450500","0.89105500","0.84430398","168.35809710","1.47006668","199.40459958","1.62206429","0.58752609","0.95300510","176.66022748","1.75014305","1.92118517","0.64827338","4.09155000","4.37601271","18.48550200","19.77069610","1.12874642","1.07896035","114.52412250"
32,"2024-06-17 06:42:04","0.90629918","1.06941006","103.79272242","0.61109006","0.65934486","157.41795900","1.37454500","0.89116500","0.84423508","168.34434897","1.46995225","199.40458933","1.62192825","0.58758506","0.95302082","176.64288768","1.75000401","1.92118084","0.64833454","4.09172400","4.37573081","18.48570100","19.76879461","1.12885716","1.07896512","114.52368529"
33,"2024-06-17 06:44:03","0.90644312","1.06980476","103.82768584","0.61127497","0.65954795","157.42249900","1.37434000","0.89096500","0.84434341","168.41133886","1.47027547","199.45834526","1.62202728","0.58763414","0.95315860","176.68763532","1.75012035","1.92105163","0.64828572","4.08960500","4.37507890","18.48510300","19.77545119","1.12887551","1.07897097","114.54407134"
34,"2024-06-17 06:44:03","0.90644312","1.06980476","103.82768584","0.61127497","0.65954795","157.42249900","1.37434000","0.89096500","0.84434341","168.41133886","1.47027547","199.45834526","1.62202728","0.58763414","0.95315860","176.68763532","1.75012035","1.92105163","0.64828572","4.08960500","4.37507890","18.48510300","19.77545119","1.12887551","1.07897097","114.54407134"
35,"2024-06-17 06:45:04","0.90651610","1.06997761","103.83849442","0.61132728","0.65959145","157.42850300","1.37436000","0.89088000","0.84439423","168.44497266","1.47053442","199.48617281","1.62218235","0.58761683","0.95322165","176.71123271","1.75025332","1.92111966","0.64821444","4.08755300","4.37359017","18.49389000","19.78804814","1.12888224","1.07894980","114.54677304"
36,"2024-06-17 06:46:04","0.90681485","1.07021693","103.90291286","0.61155534","0.65990005","157.45250000","1.37417000","0.89072000","0.84446537","168.50833164","1.47066000","199.54439460","1.62178641","0.58778617","0.95326363","176.76991647","1.74999197","1.92048894","0.64818763","4.08595500","4.37285823","18.48409800","19.78199467","1.12883684","1.07905207","114.58007379"
37,"2024-06-17 06:49:04","0.90674218","1.06988488","103.89147282","0.61143568","0.65983996","157.44950100","1.37418500","0.89050200","0.84426863","168.45284054","1.47021975","199.52516914","1.62143086","0.58758881","0.95273463","176.80982300","1.74979137","1.92051536","0.64802192","4.08731900","4.37296080","18.49065000","19.78286686","1.12847333","1.07916496","114.57664070"
38,"2024-06-17 06:49:04","0.90674218","1.06988488","103.89147282","0.61143568","0.65983996","157.44950100","1.37418500","0.89050200","0.84426863","168.45284054","1.47021975","199.52516914","1.62143086","0.58758881","0.95273463","176.80982300","1.74979137","1.92051536","0.64802192","4.08731900","4.37296080","18.49065000","19.78286686","1.12847333","1.07916496","114.57664070"
39,"2024-06-17 06:51:03","0.90666240","1.07004516","103.88216916","0.61145437","0.65983953","157.43550500","1.37406500","0.89064500","0.84428703","168.46309949","1.47031160","199.53297128","1.62167483","0.58768278","0.95303037","176.76572035","1.75000000","1.92076246","0.64818258","4.08578200","4.37197124","18.48719000","19.78212811","1.12879902","1.07913126","114.57646108"
40,"2024-06-17 06:52:03","0.90670512","1.06991350","103.89466283","0.61143568","0.65988742","157.44301100","1.37403000","0.89069500","0.84421525","168.45040255","1.47009324","199.53489766","1.62135761","0.58775843","0.95296660","176.76422457","1.74983818","1.92055003","0.64823548","4.08707500","4.37281671","18.48529900","19.77767091","1.12881947","1.07924258","114.58484240"
41,"2024-06-17 06:52:03","0.90670512","1.06991350","103.89466283","0.61143568","0.65988742","157.44301100","1.37403000","0.89069500","0.84421525","168.45040255","1.47009324","199.53489766","1.62135761","0.58775843","0.95296660","176.76422457","1.74983818","1.92055003","0.64823548","4.08707500","4.37281671","18.48529900","19.77767091","1.12881947","1.07924258","114.58484240"
